"Table","Type","Column","DataType","Size","Nullable","Auto","Default","Comments"
"BORH","Table","BORH_CREW","VARCHAR","100","√","","null","Name of logger / organization"
"BORH","Table","BORH_DIA","FLOAT","12","√","","null","Borehole diameter in m"
"BORH","Table","BORH_ENDD","DATETIME","19","√","","null","End date of activity"
"BORH","Table","BORH_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the BORH table"
"BORH","Table","BORH_MECH","VARCHAR","100","√","","null","Hammer drop system (e.g., Rope-cathead Trip, Semi-automatic, Automatic)"
"BORH","Table","BORH_METH","VARCHAR","100","√","","null","Method (i.e., standard) followed if different from ASTM D1586-11."
"BORH","Table","BORH_REM","VARCHAR","1000","√","","null","Remarks"
"BORH","Table","BORH_RIG","VARCHAR","50","√","","null","Boring rig information"
"BORH","Table","BORH_STAR","DATETIME","19","√","","null","Start date of activity"
"BORH","Table","BORH_TYPE","VARCHAR","50","√","","null","Type of boring (e.g., Rotary wash, Hand auger)"
"phinxlog","Table","breakpoint","BIT","1","","","0",""
"TESP","Table","CITATION_ID","INT UNSIGNED","10","√","","null",""
"FLDP","Table","CITATION_ID","INT UNSIGNED","10","√","","null",""
"CITATION","Table","CITATION_ID","INT UNSIGNED","10","","√","null",""
"SITP","Table","CITATION_ID","INT UNSIGNED","10","√","","null",""
"FILE_EXT","Table","CITATION_ID","INT UNSIGNED","10","√","","null",""
"CITATION","Table","CITATION_TEXT","VARCHAR","1000","√","","null","Author list, year of publication, publisher, issue, page numbers"
"CITATION","Table","CITATION_URL","VARCHAR","100","√","","null","Citation url or doi if available"
"COND","Table","CON_STGE_ID","INT UNSIGNED","10","√","","null",""
"CON_STGE","Table","CON_STGE_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the STGE2 table"
"CON_STGE","Table","CON_STGE_NUMB","INT UNSIGNED","10","√","","null","Consolidation stage number"
"CON_STGE","Table","CON_STGE_SIGV","FLOAT","12","√","","null","Final effective vertical stress"
"COND","Table","COND_DISP","FLOAT","12","√","","null","Consolidation displacement in cm"
"COND","Table","COND_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the COND2 table"
"COND","Table","COND_TIME","FLOAT","12","√","","null","Consolidation time in seCOND2s"
"CONG","Table","CONG_D0","FLOAT","12","√","","null","Diameter of the consolidation specimen (cm)"
"CONG","Table","CONG_DR","BIT","1","√","","null","Drainage state of the consolidation test (0=double, 1=single)"
"CONG","Table","CONG_E0","FLOAT","12","√","","null","Initial void ratio of the consolidation specimen"
"CONG","Table","CONG_H0","FLOAT","12","√","","null","Initial height of the consolidation specimen (cm)"
"CONG","Table","CONG_ID","INT UNSIGNED","10","","√","null","Unique ID for entries in the CONG table"
"CON_STGE","Table","CONG_ID","INT UNSIGNED","10","√","","null","Unique ID for entries in the CONG table"
"CONG","Table","CONG_S0","FLOAT","12","√","","null","Initial saturation of the consolidation specimen (%)"
"CONG","Table","CONG_W0","FLOAT","12","√","","null","Initial water content of the consolidation specimen (%)"
"USER","Table","country","VARCHAR","30","√","","null","Country"
"password_resets","Table","created","DATETIME","19","","","null",""
"CREO","Table","CREO_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the CREO table"
"CRES","Table","CRES_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the CRES table"
"CRET","Table","CRET_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the CRET table"
"DETL","Table","DETL_DESC","VARCHAR","1000","√","","null","Description of soil at this depth"
"DETL","Table","DETL_DPTH","FLOAT","12","√","","null","Specific depth for within-layer description in m"
"DETL","Table","DETL_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the DETL table"
"DICT","Table","DICT_CMNT","VARCHAR","1000","√","","null",""
"DICT","Table","DICT_DESC","VARCHAR","100","√","","null",""
"DICT","Table","DICT_HEAD","VARCHAR","30","√","","null",""
"DICT","Table","DICT_ID","INT UNSIGNED","10","","√","null",""
"DICT","Table","DICT_REQ","TINYINT","3","√","","null",""
"DICT","Table","DICT_TYPE","VARCHAR","30","√","","null",""
"DICT","Table","DICT_UNIT","VARCHAR","30","√","","null",""
"DSSD1D","Table","DSSD1D_EPSV","FLOAT","12","√","","null","Vertical Strain in percent"
"DSSD1D","Table","DSSD1D_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the DSSD1D2 table"
"DSSD1D","Table","DSSD1D_SIGV","FLOAT","12","√","","null","Vertical Stress in kPa"
"DSSD1D","Table","DSSD1D_TAU","FLOAT","12","√","","null","Shear Stress in kPa"
"DSSD1D","Table","DSSD1D_TIME","FLOAT","12","√","","null","Time in sec"
"DSSD1D","Table","DSSD1D_YHV","FLOAT","12","√","","null","Shear Strain in percent"
"DSSD2D","Table","DSSD2D_EPSV","FLOAT","12","√","","null","Vertical Strain in percent"
"DSSD2D","Table","DSSD2D_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the DSSD2D2 table"
"DSSD2D","Table","DSSD2D_SIGV","FLOAT","12","√","","null","Vertical Stress in kPa"
"DSSD2D","Table","DSSD2D_TAU1","FLOAT","12","√","","null","Shear Stress 1 in kPa"
"DSSD2D","Table","DSSD2D_TAU2","FLOAT","12","√","","null","Shear Stress 2 in kPa"
"DSSD2D","Table","DSSD2D_TIME","FLOAT","12","√","","null","Time in sec"
"DSSD2D","Table","DSSD2D_YHV1","FLOAT","12","√","","null","Shear Strain 1 in percent"
"DSSD2D","Table","DSSD2D_YHV2","FLOAT","12","√","","null","Shear Strain 2 in percent"
"DSSG","Table","DSSG_DESC","VARCHAR","1000","√","","null","Description"
"DSSG","Table","DSSG_DIAM","FLOAT","12","√","","null","Specimen diameter in cm"
"DSSG","Table","DSSG_E0","FLOAT","12","√","","null","Initial void ratio"
"DSSG","Table","DSSG_H0","FLOAT","12","√","","null","Specimen initial height in cm"
"DSSG","Table","DSSG_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the DSSG2 table"
"DSSS","Table","DSSG_ID","INT UNSIGNED","10","√","","null",""
"DSSG","Table","DSSG_W0","FLOAT","12","√","","null","Initial water content"
"DSSS","Table","DSSS_DESC","VARCHAR","1000","√","","null","Description"
"DSSS","Table","DSSS_DR","BIT","1","√","","null","Is the stage drained or undrained?"
"DSSS","Table","DSSS_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the DSSS2 table"
"DSSD2D","Table","DSSS_ID","INT UNSIGNED","10","√","","null",""
"DSSD1D","Table","DSSS_ID","INT UNSIGNED","10","√","","null",""
"DSSS","Table","DSSS_ST","INT UNSIGNED","10","√","","null","Stage Number"
"DSSS","Table","DSSS_TY","INT","10","√","","null","Type of stage (i.e. Consolidation, Monotonic Loading, Cyclic Loading"
"USER","Table","email","VARCHAR","30","√","","null","E-mail address"
"phinxlog","Table","end_time","TIMESTAMP","19","√","","null",""
"EVNT","Table","EVNT_DIP","FLOAT","12","√","","null","Average Dip (deg)"
"EVNT","Table","EVNT_EQID","INT UNSIGNED","10","√","","null","Unique ID reported in NGA databases"
"EVNT","Table","EVNT_FFMOD","TINYINT","3","√","","null","Finite Rupture Model: 1=Yes;  0=No"
